title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,studio,domestic_gross,year,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western
Wish I Was Here,Wish I Was Here,2014-01-01,106.0,"Comedy,Drama",6.7,34907,Focus,3600000.0,2014-01-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucy,Lucy,2014-01-01,89.0,"Action,Sci-Fi,Thriller",6.4,403194,Uni.,126700000.0,2014-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Lucy,Lucy,2016-01-01,40.0,Documentary,7.0,6,Uni.,126700000.0,2014-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99 Homes,99 Homes,2014-01-01,112.0,Drama,7.1,26699,BG,1400000.0,2015-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Wedding Invitation,Fen shou he yue,2013-01-01,101.0,"Drama,Romance",6.1,404,CJ,14400.0,2013-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Trip to Italy,The Trip to Italy,2014-01-01,108.0,"Comedy,Drama",6.6,13668,IFC,2900000.0,2014-01-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Hundred-Foot Journey,The Hundred-Foot Journey,2014-01-01,122.0,"Comedy,Drama",7.3,69562,BV,54200000.0,2014-01-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Listen Up Philip,Listen Up Philip,2014-01-01,108.0,"Comedy,Drama",6.3,5740,Trib.,200000.0,2014-01-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Incarnate,Incarnate,2016-01-01,91.0,"Horror,Thriller",5.3,10217,BH Tilt,4800000.0,2016-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Sully,Sully,2016-01-01,96.0,"Biography,Drama",7.5,202718,WB,125100000.0,2016-01-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
